petition_id,abstract,label,numberOfSignatures
390,56,17,33
391,57,10,48
392,57,10,102
393,52,12,2355
394,37,15,40
395,55,13,8
396,60,7,190
397,47,11,385
398,36,15,198
399,49,13,15
400,50,11,113
401,45,10,40
402,47,6,10
403,43,13,23
404,23,12,1338
405,32,8,13
406,39,14,90
407,19,13,26
408,56,13,33
409,44,10,12
410,42,7,800
411,56,8,779
412,51,14,63
413,14,14,10
414,35,10,30
415,44,10,382
416,51,12,9
417,44,12,3032
418,50,11,1247
419,40,11,30
420,12,14,16
421,44,4,509
422,45,14,989
423,50,7,3276
424,53,10,11
425,49,6,123
426,31,15,166
427,42,10,249
428,48,13,895
429,50,14,24
430,47,13,32
431,50,8,16671
432,43,10,47
433,57,5,109
434,34,12,281
435,56,14,17
436,29,13,42
437,48,11,53
438,50,8,27
439,53,13,72
440,50,9,127
441,50,14,83
442,36,11,47
443,45,9,15
444,50,15,3240
445,48,8,19
446,39,12,19069
447,51,13,528
448,31,4,11
449,53,12,682
450,47,14,9
451,48,11,43
452,32,12,9
453,51,11,254
454,44,9,68
455,12,9,69
456,49,16,29
457,49,5,17
458,28,9,36
459,35,12,29
460,47,9,7
461,52,6,125
462,53,12,14
463,49,15,192
464,53,16,14
465,52,9,149
466,53,7,6589
467,51,7,12046
468,27,6,4386
469,33,14,40
470,57,12,16
471,8,14,93
472,40,11,1138
473,48,12,34
474,51,13,74
475,55,14,13
476,50,10,57
477,30,7,11
478,28,11,1036
479,47,6,216949
480,60,12,2748
481,41,7,31
482,44,13,7
483,38,9,16
484,49,8,156
485,39,14,1873
486,49,10,934
487,43,11,8
488,47,8,70
489,38,13,13
490,54,18,47
491,46,11,118
492,40,6,10
493,35,12,19
494,49,12,451
495,52,10,12
496,50,13,656
497,47,11,23
498,40,9,1875
499,52,14,22459
500,48,10,29
501,55,11,7
502,46,11,90
503,42,11,53
504,30,9,2273
505,49,12,27211
506,48,14,14
507,46,14,42
508,30,7,15
509,55,8,338
510,49,13,166
511,49,8,20
512,34,13,76
513,47,12,5759
514,46,10,157
515,39,14,89
516,36,7,17
517,25,7,40
518,39,8,12
519,45,13,91
520,51,13,3100
521,38,11,37
522,56,11,27
523,43,4,168
524,52,10,9
525,43,13,40
526,50,12,457
527,45,14,13626
528,48,10,882
529,44,12,35
530,42,13,267
531,48,9,16
532,43,12,24
533,51,7,37
534,51,11,89
535,52,13,16
536,48,11,12
537,56,13,772
538,50,11,9
539,46,6,20
540,39,14,12
541,58,13,9
542,47,14,19229
543,47,4,23
544,47,12,484
545,54,7,13
546,49,10,263
547,52,8,57
548,36,11,67
549,51,10,9
550,46,15,982
551,51,13,7
552,47,13,1028
553,49,13,563
554,48,11,1632
555,55,14,23
556,8,8,156
557,46,12,731
558,43,7,26
559,49,11,285
560,44,14,1049
561,51,10,12
562,56,15,16
563,51,11,109
564,30,11,58
565,27,11,30
566,39,9,53
567,44,11,28
568,54,10,161347
569,52,11,1767
570,46,10,143
571,36,10,59
572,59,12,193
573,57,11,78
574,39,12,138
575,45,12,11
576,47,7,30387
577,45,6,31
578,46,12,8
579,30,6,37
580,52,9,230
581,42,9,11
582,47,6,94
583,45,12,207
584,38,13,24
585,49,8,602
586,39,11,248
587,38,12,121
588,35,13,19
589,49,14,42
590,48,14,32
591,48,13,32
592,46,11,12
593,47,8,69
594,26,9,17
595,42,5,228
596,53,14,1062
597,43,15,18
598,43,10,281
599,36,12,258
600,46,10,10
601,48,12,11795
602,48,10,96
603,21,15,110
604,54,17,194
605,52,15,1050
606,32,10,8
607,32,5,99
608,54,15,295
609,29,15,986
610,51,8,12
